ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,30,1379,27
2021,3550308,71,139,0
2021,3550308,63,1867,1
2021,3550308,29,945,9
2021,3550308,14,1046,1
2021,3550308,27,1412,115
2021,3550308,,102,3
2021,3550308,36,321,0
2021,3550308,5,760,2
2021,3550308,86,427,0
2021,3550308,45,921,223
2021,3550308,74,624,78
2021,3550308,75,272,2
2021,3550308,74,627,1
2021,3550308,88,862,55
2021,3550308,61,1407,5
2021,3550308,81,595,3
2021,3550308,78,892,68
2021,3550308,67,994,17
2021,3550308,96,622,82
2021,3550308,61,670,1
2021,3550308,43,1150,4
2021,3550308,,956,1
2021,3550308,74,1254,12
2021,3550308,17,900,9
2021,3550308,50,210,57
2021,3550308,41,680,82
2021,3550308,78,309,5
2021,3550308,55,677,17
2021,3550308,59,92,3
2021,3550308,54,1778,465
2021,3550308,4,1349,159
2021,3550308,93,1316,2048
2021,3550308,55,1305,61
2021,3550308,,1623,118
2021,3550308,83,868,41
2021,3550308,74,602,78
2021,3550308,,1085,52
2021,3550308,3,,318
2021,3550308,55,894,158
2021,3550308,,1377,0
2021,3550308,87,1048,0
2021,3550308,50,362,29
2021,3550308,5,,0
2021,3550308,19,1372,0
2021,3550308,18,1369,16
2021,3550308,55,832,0
2021,3550308,48,176,0
2021,3550308,59,1538,0
2021,3550308,17,1184,9
2021,3550308,81,585,0
2021,3550308,76,1698,0
2021,3550308,,1850,0
2021,3550308,48,274,0
2021,3550308,87,30,0
2021,3550308,76,1455,6
2021,3550308,89,251,0
2021,3550308,34,221,0
2021,3550308,53,268,9
2021,3550308,74,421,66
2021,3550308,81,1495,0
2021,3550308,,60,3
2021,3550308,37,254,0
2021,3550308,21,1727,0
2021,3550308,65,1246,57
2021,3550308,18,1123,14
2021,3550308,,560,1
2021,3550308,76,1183,103
2021,3550308,83,239,3
2021,3550308,83,1409,0
2021,3550308,41,1034,75
2021,3550308,,901,3
2021,3550308,58,1204,0
2021,3550308,29,904,1
2021,3550308,55,1012,8
2021,3550308,45,1001,14
2021,3550308,67,502,541
2021,3550308,,334,4
2021,3550308,3,8,5
2021,3550308,75,866,7
2021,3550308,22,1777,397
2021,3550308,,1678,50
2021,3550308,77,1670,0
2021,3550308,,1182,0
2021,3550308,,808,4
2021,3550308,,1528,0
2021,3550308,74,1319,0
2021,3550308,54,22,2
2021,3550308,27,92,1
2021,3550308,59,234,9
2021,3550308,18,633,6
2021,3550308,,358,2
2021,3550308,65,609,0
2021,3550308,46,1375,4
2021,3550308,64,1824,0
2021,3550308,,1044,1
2021,3550308,,591,5
2021,3550308,88,1810,5
2021,3550308,,525,1
2021,3550308,,1012,2
2021,3550308,40,1689,15
2021,3550308,,221,0
2021,3550308,15,1223,36
2021,3550308,18,1032,4
2021,3550308,64,1239,0
2021,3550308,33,1111,0
2021,3550308,84,939,18
2021,3550308,67,653,2
2021,3550308,64,1184,2
2021,3550308,81,984,0
2021,3550308,61,1763,0
2021,3550308,,490,0
2021,3550308,,329,0
2021,3550308,1,514,10
2021,3550308,29,456,0
2021,3550308,,193,0
2021,3550308,41,1103,1
2021,3550308,,1305,0
2021,3550308,64,1714,0
2021,3550308,,695,0
2021,3550308,,245,0
2021,3550308,34,818,0
2021,3550308,73,1646,0
2021,3550308,37,595,0
